index,start_X,start_Y,startradius,target_X,target_Y,target_SX,target_SY,nDotsTarget,cursor_SX,cursor_SY,nDotsCursor,cursor_shift,shift_threshold,trial_score,movement time,trial
6,0,-240,10,0,240,10,10,1,200,50,200,-240,-240,0,0.8071363330018357,0
8,0,-240,10,0,240,10,10,1,200,50,200,240,-240,64,0.8495915830062586,1
6,0,-240,10,0,240,10,10,1,200,50,200,-240,-240,0,0.849857624998549,2
1,0,-240,10,0,240,10,10,1,50,200,200,0,-240,16,0.8086227079984383,3
8,0,-240,10,0,240,10,10,1,200,50,200,240,-240,26,0.8263370410058997,4
4,0,-240,10,0,240,10,10,1,100,100,200,0,-240,34,0.7885944160007057,5
7,0,-240,10,0,240,10,10,1,200,50,200,0,-240,5,0.7834982919957838,6
7,0,-240,10,0,240,10,10,1,200,50,200,0,-240,34,0.7498784999988857,7
2,0,-240,10,0,240,10,10,1,50,200,200,240,-240,7,0.8680101249992731,8
4,0,-240,10,0,240,10,10,1,100,100,200,0,-240,100,0.8407738749956479,9
5,0,-240,10,0,240,10,10,1,100,100,200,240,-240,55,0.9256972089933696,10
5,0,-240,10,0,240,10,10,1,100,100,200,240,-240,0,0.8977956669987179,11
3,0,-240,10,0,240,10,10,1,100,100,200,-240,-240,0,0.8786195830034558,12
1,0,-240,10,0,240,10,10,1,50,200,200,0,-240,0,0.749934374995064,13
3,0,-240,10,0,240,10,10,1,100,100,200,-240,-240,0,0.8326227079960518,14
2,0,-240,10,0,240,10,10,1,50,200,200,240,-240,27,0.8584387090013479,15
0,0,-240,10,0,240,10,10,1,50,200,200,-240,-240,25,0.7425574590015458,16
0,0,-240,10,0,240,10,10,1,50,200,200,-240,-240,49,0.9416653330044936,17
